Code,ForecastDate,ForecastType,ForecastStart,ForecastEnd,PrecipitationProbability,WeatherConditions,PrecipitationType,ExpectedPrecipitationAmount,MinimumTemperature,MaximumTemperature,WindDirection,WindSpeed,PrecipitationAmountDay,Notes,global_id
801855,16.07.2023,трехчасовой прогноз,16.07.2023,16.07.2023,,,дождь,,23,25,,,,"Днем местами небольшой кратковременный дождь 0-1 мм, температура 23…25 градусов, ветер северо-западный 5-10 м/сек. Ночью без осадков, температура 14…16 градусов, ветер северо-западный 3-8 м/сек.",2603178495
802039,17.07.2023,трехчасовой прогноз,17.07.2023,17.07.2023,,,без осадков,,26,28,,,,"Днем жаркая погода, без осадков, температура 26…28 градусов, ветер северо-западный 5-10 м/сек. Ночью местами небольшой кратковременный дождь 0-1 мм, температура 16…18 градусов, ветер северо-западный 3-8 м/сек.",2603398674
802224,18.07.2023,трехчасовой прогноз,18.07.2023,18.07.2023,,,дождь,,26,28,,,,"Днем жаркая погода, кратковременный дождь 5-10 мм, возможна гроза, температура 26…28 градусов, ветер северо-западный 5-10 м/сек, при грозе порывы 12-17 м/сек. Ночью дождь, местами сильный 7-12 мм, местами 20-25 мм, возможна гроза, температура 14…16 градусов, ветер западный 5-10 м/сек. местами порывы 13-18 м/сек.",2603427913
802420,19.07.2023,трехчасовой прогноз,19.07.2023,19.07.2023,,,дождь,,18,20,,,,"Днем местами кратковременный дождь 0-3 мм, температура 18…20 градусов, ветер западный 5-10 м/сек, местами порывы 20-25 м/сек. Ночью без существенных осадков 0-0,2 мм, температура 13…15 градусов, ветер западный 5-10 м/сек.",2603495173
802605,20.07.2023,трехчасовой прогноз,20.07.2023,20.07.2023,,,дождь,,20,22,,,,"Днем местами кратковременный дождь 0-3 мм, температура 20…22 градуса, ветер западный 5-10 м/сек, местами порывы 12-14 м/сек. Ночью без существенных осадков 0-0,2 мм, температура 12…14 градусов, ветер западный 3-8 м/сек.",2603525531
802801,21.07.2023,трехчасовой прогноз,21.07.2023,21.07.2023,,,дождь,,20,22,,,,"Днем местами небольшой кратковременный дождь 0-1 мм, температура 20…22 градуса, ветер западный 5-10 м/сек. Ночью без существенных осадков 0-0,2 мм, температура 12…14 градусов, ветер западный 3-8 м/сек.",2603674849
802997,22.07.2023,трехчасовой прогноз,22.07.2023,22.07.2023,,,дождь,,21,23,,,,"Днем без существенных осадков 0-0,2 мм, температура 21…23 градуса, ветер юго-западный 5-10 м/сек. Ночью местами небольшой кратковременный дождь 0-2 мм, температура 13…15 градусов, ветер западный 5-10 м/сек.",2603876365
803193,23.07.2023,трехчасовой прогноз,23.07.2023,23.07.2023,,,дождь,,20,22,,,,"Днем кратковременный дождь 5-10 мм, возможна гроза, температура 20…22 градуса, ветер западный 5-10 м/сек, местами порывы 12-14 м/сек. Ночью местами небольшой кратковременный дождь 0-1 мм, температура 13…15 градусов, ветер северо-западный 2-5 м/сек.",2603923245
803389,24.07.2023,трехчасовой прогноз,24.07.2023,24.07.2023,,,дождь,,18,20,,,,"Днем местами кратковременный дождь 0-5 мм, температура 18…20 градусов, ветер юго-западный 5-10 м/сек. Ночью местами кратковременный дождь 0-3 мм, температура 14…16 градусов, ветер западный 2-5 м/сек.",2604108666
803597,25.07.2023,трехчасовой прогноз,25.07.2023,25.07.2023,,,дождь,,22,24,,,,"Днем местами кратковременный дождь 0-5 мм, возможна гроза, температура 22…24 градуса, ветер юго-западный 5-10 м/сек. Ночью кратковременный дождь, местами сильный 5-12 мм, местами до 20 мм, возможна гроза, температура 16…18 градусов, ветер южный 3-8 м/сек.",2604225779
